seg_idx,query_text,video_id,start_frame,end_frame,total_frames
0,It is a silly place.,video_01,0,100,10000
1,The Castle Aaargh!,video_01,100,200,10000
2,Always look on the bright side of life.,video_01,200,300,10000
3,Your mother was a hamster!,video_01,300,400,10000
4,It is a silly place.,video_01,400,500,10000
5,I'm not dead yet!,video_01,500,600,10000
6,The Castle Aaargh!,video_01,600,700,10000
7,We want a shrubbery!,video_01,700,800,10000
8,Nobody expects the Spanish Inquisition!,video_01,800,900,10000
9,What is the airspeed velocity of an unladen swallow?,video_01,900,1000,10000
10,I'm not dead yet!,video_01,1000,1100,10000
11,Always look on the bright side of life.,video_01,1100,1200,10000
12,Strange women lying in ponds distributing swords is no basis for a system of government!,video_01,1200,1300,10000
13,I'm not dead yet!,video_01,1300,1400,10000
14,You must cut down the mightiest tree in the forest with... a herring!,video_01,1400,1500,10000
15,Strange women lying in ponds distributing swords is no basis for a system of government!,video_01,1500,1600,10000
16,Your mother was a hamster!,video_01,1600,1700,10000
17,You must cut down the mightiest tree in the forest with... a herring!,video_01,1700,1800,10000
18,This parrot is no more!,video_01,1800,1900,10000
19,The Castle Aaargh!,video_01,1900,2000,10000
20,It's just a flesh wound.,video_01,2000,2100,10000
21,We want a shrubbery!,video_01,2100,2200,10000
22,Nobody expects the Spanish Inquisition!,video_01,2200,2300,10000
23,The Castle Aaargh!,video_01,2300,2400,10000
24,We want a shrubbery!,video_01,2400,2500,10000
25,It is a silly place.,video_01,2500,2600,10000
26,We want a shrubbery!,video_01,2600,2700,10000
27,Bring out your dead!,video_01,2700,2800,10000
28,The Castle Aaargh!,video_01,2800,2900,10000
29,Strange women lying in ponds distributing swords is no basis for a system of government!,video_01,2900,3000,10000
30,I'm not dead yet!,video_01,3000,3100,10000
31,Your mother was a hamster!,video_01,3100,3200,10000
32,Bring out your dead!,video_01,3200,3300,10000
33,I fart in your general direction!,video_01,3300,3400,10000
34,Now go away or I shall taunt you a second time!,video_01,3400,3500,10000
35,Nobody expects the Spanish Inquisition!,video_01,3500,3600,10000
36,It is a silly place.,video_01,3600,3700,10000
37,Your mother was a hamster!,video_01,3700,3800,10000
38,You must cut down the mightiest tree in the forest with... a herring!,video_01,3800,3900,10000
39,I'm not dead yet!,video_01,3900,4000,10000
40,I fart in your general direction!,video_01,4000,4100,10000
41,We want a shrubbery!,video_01,4100,4200,10000
42,We want a shrubbery!,video_01,4200,4300,10000
43,We want a shrubbery!,video_01,4300,4400,10000
44,Nobody expects the Spanish Inquisition!,video_01,4400,4500,10000
45,Strange women lying in ponds distributing swords is no basis for a system of government!,video_01,4500,4600,10000
46,You must cut down the mightiest tree in the forest with... a herring!,video_01,4600,4700,10000
47,Always look on the bright side of life.,video_01,4700,4800,10000
48,I fart in your general direction!,video_01,4800,4900,10000
49,I'm not dead yet!,video_01,4900,5000,10000
50,Your mother was a hamster!,video_01,5000,5100,10000
51,We are the knights who say... Ni!,video_01,5100,5200,10000
52,Bring out your dead!,video_01,5200,5300,10000
53,Bring out your dead!,video_01,5300,5400,10000
54,Bring out your dead!,video_01,5400,5500,10000
55,Always look on the bright side of life.,video_01,5500,5600,10000
56,I'm not dead yet!,video_01,5600,5700,10000
57,Bring out your dead!,video_01,5700,5800,10000
58,Bring out your dead!,video_01,5800,5900,10000
59,I fart in your general direction!,video_01,5900,6000,10000
60,This parrot is no more!,video_01,6000,6100,10000
61,Always look on the bright side of life.,video_01,6100,6200,10000
62,Bring out your dead!,video_01,6200,6300,10000
63,The Castle Aaargh!,video_01,6300,6400,10000
64,It's just a flesh wound.,video_01,6400,6500,10000
65,I'm not dead yet!,video_01,6500,6600,10000
66,What is the airspeed velocity of an unladen swallow?,video_01,6600,6700,10000
67,We want a shrubbery!,video_01,6700,6800,10000
68,The Castle Aaargh!,video_01,6800,6900,10000
69,You must cut down the mightiest tree in the forest with... a herring!,video_01,6900,7000,10000
70,This parrot is no more!,video_01,7000,7100,10000
71,Your mother was a hamster!,video_01,7100,7200,10000
72,Always look on the bright side of life.,video_01,7200,7300,10000
73,This parrot is no more!,video_01,7300,7400,10000
74,It's just a flesh wound.,video_01,7400,7500,10000
75,This parrot is no more!,video_01,7500,7600,10000
76,Now go away or I shall taunt you a second time!,video_01,7600,7700,10000
77,It is a silly place.,video_01,7700,7800,10000
78,I'm not dead yet!,video_01,7800,7900,10000
79,It is a silly place.,video_01,7900,8000,10000
80,Nobody expects the Spanish Inquisition!,video_01,8000,8100,10000
81,Bring out your dead!,video_01,8100,8200,10000
82,It is a silly place.,video_01,8200,8300,10000
83,Your mother was a hamster!,video_01,8300,8400,10000
84,Bring out your dead!,video_01,8400,8500,10000
85,I fart in your general direction!,video_01,8500,8600,10000
86,This parrot is no more!,video_01,8600,8700,10000
87,This parrot is no more!,video_01,8700,8800,10000
88,I'm not dead yet!,video_01,8800,8900,10000
89,We want a shrubbery!,video_01,8900,9000,10000
90,Nobody expects the Spanish Inquisition!,video_01,9000,9100,10000
91,We are the knights who say... Ni!,video_01,9100,9200,10000
92,I'm not dead yet!,video_01,9200,9300,10000
93,Bring out your dead!,video_01,9300,9400,10000
94,Your mother was a hamster!,video_01,9400,9500,10000
95,I'm not dead yet!,video_01,9500,9600,10000
96,What is the airspeed velocity of an unladen swallow?,video_01,9600,9700,10000
97,What is the airspeed velocity of an unladen swallow?,video_01,9700,9800,10000
98,We are the knights who say... Ni!,video_01,9800,9900,10000
99,You must cut down the mightiest tree in the forest with... a herring!,video_01,9900,10000,10000
0,It is a silly place.,video_02,0,100,10000
1,The Castle Aaargh!,video_02,100,200,10000
2,Always look on the bright side of life.,video_02,200,300,10000
3,Your mother was a hamster!,video_02,300,400,10000
4,It is a silly place.,video_02,400,500,10000
5,I'm not dead yet!,video_02,500,600,10000
6,The Castle Aaargh!,video_02,600,700,10000
7,We want a shrubbery!,video_02,700,800,10000
8,Nobody expects the Spanish Inquisition!,video_02,800,900,10000
9,What is the airspeed velocity of an unladen swallow?,video_02,900,1000,10000
10,I'm not dead yet!,video_02,1000,1100,10000
11,Always look on the bright side of life.,video_02,1100,1200,10000
12,Strange women lying in ponds distributing swords is no basis for a system of government!,video_02,1200,1300,10000
13,I'm not dead yet!,video_02,1300,1400,10000
14,You must cut down the mightiest tree in the forest with... a herring!,video_02,1400,1500,10000
